Model Name,Dataset,Sparsing Name,Power,Accuracy Mean,Accuracy Std,Removed %
SGC_CUSTOM,Cora,NoSparsification,None,88.65%,1.25%,N/A
SGC_CUSTOM,Cora,Jaccard,1,88.52%,1.36%,1.00%
SGC_CUSTOM,Cora,Jaccard,2,88.43%,1.41%,2.01%
SGC_CUSTOM,Cora,Jaccard,3,88.41%,1.42%,3.01%
SGC_CUSTOM,Cora,Jaccard,4,88.17%,1.46%,4.02%
SGC_CUSTOM,Cora,Jaccard,5,88.28%,1.36%,5.00%
SGC_CUSTOM,Cora,Jaccard,6,88.23%,1.19%,6.01%
SGC_CUSTOM,Cora,Jaccard,7,88.14%,1.28%,7.01%
SGC_CUSTOM,Cora,Jaccard,8,87.88%,1.42%,8.01%
SGC_CUSTOM,Cora,PreferentialAttachment,1,88.60%,1.28%,1.00%
SGC_CUSTOM,Cora,PreferentialAttachment,2,88.52%,1.31%,2.01%
SGC_CUSTOM,Cora,PreferentialAttachment,3,88.43%,1.43%,3.01%
SGC_CUSTOM,Cora,PreferentialAttachment,4,88.36%,1.38%,4.02%
SGC_CUSTOM,Cora,PreferentialAttachment,5,88.30%,1.23%,5.00%
SGC_CUSTOM,Cora,PreferentialAttachment,6,88.25%,1.25%,6.01%
SGC_CUSTOM,Cora,PreferentialAttachment,7,88.15%,1.44%,7.01%
SGC_CUSTOM,Cora,PreferentialAttachment,8,87.99%,1.63%,8.01%
SGC_CUSTOM,Cora,AdamicAdar,1,88.52%,1.36%,1.00%
SGC_CUSTOM,Cora,AdamicAdar,2,88.43%,1.41%,2.01%
SGC_CUSTOM,Cora,AdamicAdar,3,88.41%,1.42%,3.01%
SGC_CUSTOM,Cora,AdamicAdar,4,88.17%,1.46%,4.02%
SGC_CUSTOM,Cora,AdamicAdar,5,88.28%,1.36%,5.00%
SGC_CUSTOM,Cora,AdamicAdar,6,88.23%,1.19%,6.01%
SGC_CUSTOM,Cora,AdamicAdar,7,88.14%,1.28%,7.01%
SGC_CUSTOM,Cora,AdamicAdar,8,87.88%,1.42%,8.01%
SGC_CUSTOM,Cora,AdjustedRand,1,88.51%,1.38%,1.00%
SGC_CUSTOM,Cora,AdjustedRand,2,88.34%,1.37%,2.01%
SGC_CUSTOM,Cora,AdjustedRand,3,88.10%,1.23%,3.01%
SGC_CUSTOM,Cora,AdjustedRand,4,87.97%,1.19%,4.02%
SGC_CUSTOM,Cora,AdjustedRand,5,87.90%,1.15%,5.00%
SGC_CUSTOM,Cora,AdjustedRand,6,87.73%,1.28%,6.01%
SGC_CUSTOM,Cora,AdjustedRand,7,87.56%,1.30%,7.01%
